Shape_Area,Shape_Leng,Surface_PU,unique_id,origine,cluster_PC,cluster_DI,DI_reg,DI_6cat,sp_richnes,sum_max_ei,access,chantiers,ParcourRef,enjeux_Z,enjeu_2026,enjeux,prio_all,prio_txt
40000.00000000000,800.00000000000,4.00000000000,"838",DI regional 2025,"-99","-99","3",très envahi (6),"1","2",5597.79101562000,Pas de chantiers connus dans les 5 dernières années,Restauration très envahi,92.70669520850,"2",Fort enjeu de conservation à l'échelle du massif,46.00000000000,Faibles Priorités - Score inférieur à 50
9998.01212485000,397.50279912700,0.99980121249,"839",DI terrain 2024,"-99","1","-99",intact,"0","0",525.62294677100,Chantiers dans les 5 dernières années,Surveillance,10.71038382630,"0",Faible enjeu de conservation à l'échelle du massif,73.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
10147.40578810000,401.81319416000,1.01474057881,"840",DI terrain 2024,"-99","4","-99",moyennement envahi (4),"1","3",1983.65029266000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,28.32967670250,"0",Faible enjeu de conservation à l'échelle du massif,68.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
10684.98442750000,411.25985191100,1.06849844275,"841",DI terrain 2024,"-99","4","-99",moyennement envahi (4),"3","3",624.82107105900,Buffer de 500m autour d'un chantier historique,Restauration moy envahi,91.41180405660,"2",Fort enjeu de conservation à l'échelle du massif,94.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
19879.93998390000,558.61448153100,1.98799399839,"842",DI terrain 2024,"-99","2","-99",peu envahi (2),"4","3",3402.54013142000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,65.01403561960,"2",Fort enjeu de conservation à l'échelle du massif,73.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
40000.00000000000,800.00000000000,4.00000000000,"843",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",6061.95507812000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,80.51451235770,"2",Fort enjeu de conservation à l'échelle du massif,65.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
13383.79329060000,485.37425929300,1.33837932906,"844",DI terrain 2024,"-99","1","-99",intact,"0","0",639.49681419300,Buffer de 200m autour d'un chantier historique,Surveillance,68.30470281550,"2",Fort enjeu de conservation à l'échelle du massif,85.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
22137.08221740000,614.42037689600,2.21370822174,"845",DI terrain 2024,"-99","4","-99",moyennement envahi (4),"3","3",417.19775508600,Buffer de 500m autour d'un chantier historique,Restauration moy envahi,35.48812115800,"0",Faible enjeu de conservation à l'échelle du massif,65.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
35753.90705610000,718.72440258500,3.57539070561,"846",DI terrain 2024,"-99","2","-99",peu envahi (2),"2","3",3104.15898655000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,84.01005860130,"2",Fort enjeu de conservation à l'échelle du massif,83.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
10096.14309510000,397.68066517400,1.00961430951,"847",DI terrain 2024,"-99","2","-99",peu envahi (2),"7","3",142.31096592700,Chantiers dans les 5 dernières années,Restauration peu envahi,47.74207847600,"2",Fort enjeu de conservation à l'échelle du massif,75.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
3875.90738339000,247.46573295000,0.38759073834,"848",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"2","3",53.59410682820,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,30.18190039070,"0",Faible enjeu de conservation à l'échelle du massif,69.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
10605.35572610000,400.79464021800,1.06053557261,"849",DI terrain 2024,"-99","2","-99",intact,"2","3",841.84841127700,Buffer de 200m autour d'un chantier historique,Surveillance,69.19785662800,"2",Fort enjeu de conservation à l'échelle du massif,89.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
22200.61121340000,595.47493718200,2.22006112134,"850",DI terrain 2024,"-99","1","-99",intact,"0","0",1199.92159649000,Pas de chantiers connus dans les 5 dernières années,Surveillance,72.93367734570,"2",Fort enjeu de conservation à l'échelle du massif,85.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
28396.26846650000,662.29143905300,2.83962684665,"851",DI terrain 2024,"-99","4","-99",moyennement envahi (4),"5","3",5722.60509246000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,21.12718587190,"0",Faible enjeu de conservation à l'échelle du massif,41.00000000000,Faibles Priorités - Score inférieur à 50
10442.41340490000,401.57609409400,1.04424134049,"852",DI terrain 2024,"-99","1","-99",peu envahi (1),"2","3",1341.46332223000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,63.84521178100,"2",Fort enjeu de conservation à l'échelle du massif,82.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
24172.21839400000,633.73109187600,2.41722183940,"853",DI terrain 2024,"-99","1","-99",peu envahi (1),"4","3",1644.56081142000,Buffer de 500m autour d'un chantier historique,Restauration peu envahi,79.85682176980,"2",Fort enjeu de conservation à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
10013.42311190000,398.77822301300,1.00134231119,"854",DI terrain 2024,"-99","1","-99",peu envahi (1),"4","3",1421.26551785000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,64.98802277300,"2",Fort enjeu de conservation à l'échelle du massif,82.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
10101.01095000000,400.88397952600,1.01010109500,"855",DI terrain 2024,"-99","1","-99",intact,"0","0",732.40228302400,Pas de chantiers connus dans les 5 dernières années,Surveillance,53.20712244990,"1",Enjeu de conservation intermédiaire à l'échelle du massif,79.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
40000.00000000000,800.00000000000,4.00000000000,"856",DI regional 2025,"-99","-99","2",moyennement envahi (4),"0","-99",7864.84667969000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,78.15286153790,"2",Fort enjeu de conservation à l'échelle du massif,57.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
40000.00000000000,800.00000000000,4.00000000000,"857",DI regional 2025,"-99","-99","3",très envahi (6),"0","-99",6911.25048828000,Pas de chantiers connus dans les 5 dernières années,Restauration très envahi,51.98113377330,"2",Fort enjeu de conservation à l'échelle du massif,30.00000000000,Faibles Priorités - Score inférieur à 50
46944.14284660000,875.16323322600,4.69441428466,"858",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",2070.14697266000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,68.05307581490,"2",Fort enjeu de conservation à l'échelle du massif,60.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
12219.72866220000,438.11625664400,1.22197286622,"859",DI terrain 2024,"-99","1","-99",intact,"4","3",124.56211519800,Pas de chantiers connus dans les 5 dernières années,Surveillance,78.57537393750,"2",Fort enjeu de conservation à l'échelle du massif,87.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
10075.85695670000,396.55159123800,1.00758569567,"860",DI terrain 2024,"-99","1","-99",peu envahi (1),"5","3",169.28652164600,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,3.42162785863,"0",Faible enjeu de conservation à l'échelle du massif,61.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
40000.00000000000,800.00000000000,4.00000000000,"861",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",256.04748535200,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,50.49494762660,"2",Fort enjeu de conservation à l'échelle du massif,72.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
35140.50197990000,742.42747647200,3.51405019799,"862",DI regional 2025,"-99","-99","3",très envahi (6),"0","-99",7271.27343750000,Pas de chantiers connus dans les 5 dernières années,Restauration très envahi,55.66882716290,"1",Enjeu de conservation intermédiaire à l'échelle du massif,29.00000000000,Faibles Priorités - Score inférieur à 50
9752.98557221000,395.03490943000,0.97529855722,"863",DI terrain 2024,"-99","1","-99",intact,"1","1",107.27880251000,Pas de chantiers connus dans les 5 dernières années,Surveillance,83.44624831370,"2",Fort enjeu de conservation à l'échelle du massif,88.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
40000.00000000000,800.00000000000,4.00000000000,"864",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",74.70187377930,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,84.81901782040,"2",Fort enjeu de conservation à l'échelle du massif,83.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
3778.60124883000,245.26046260200,0.37786012488,"865",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"4","3",49.52855661330,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,8.35868347358,"0",Faible enjeu de conservation à l'échelle du massif,62.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
19975.12523450000,564.25729035100,1.99751252345,"866",DI terrain 2024,"-99","1","-99",peu envahi (1),"0","0",1102.84494364000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,72.75942093160,"2",Fort enjeu de conservation à l'échelle du massif,85.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
3673.73750760000,242.60320524600,0.36737375076,"867",DI terrain Piton de Caille 2021,"2","-99","-99",moyennement envahi (4),"5","3",62.22249062860,Buffer de 200m autour d'un chantier historique,Restauration moy envahi,59.38269618860,"2",Fort enjeu de conservation à l'échelle du massif,75.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
17098.49010640000,513.97273781800,1.70984901064,"868",DI terrain 2024,"-99","1","-99",peu envahi (1),"0","0",3141.69215285000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,67.81456794630,"2",Fort enjeu de conservation à l'échelle du massif,74.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
40000.00000000000,800.00000000000,4.00000000000,"869",DI regional 2025,"-99","-99","2",moyennement envahi (4),"0","-99",5675.86425781000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,42.09924441810,"1",Enjeu de conservation intermédiaire à l'échelle du massif,31.00000000000,Faibles Priorités - Score inférieur à 50
23226.76798320000,617.29906094600,2.32267679832,"870",DI terrain 2024,"-99","1","-99",peu envahi (1),"1","3",500.71412084400,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,79.90698064610,"2",Fort enjeu de conservation à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
40000.00000000000,800.00000000000,4.00000000000,"871",DI regional 2025,"-99","-99","0",intact,"0","-99",1114.13684082000,Pas de chantiers connus dans les 5 dernières années,Surveillance,95.48088762760,"2",Fort enjeu de conservation à l'échelle du massif,86.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
9816.44994955000,392.91801194300,0.98164499496,"872",DI terrain 2024,"-99","1","-99",intact,"0","0",566.06308589100,Chantiers dans les 5 dernières années,Surveillance,7.53908331783,"0",Faible enjeu de conservation à l'échelle du massif,72.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
10065.55603300000,394.55712948900,1.00655560330,"873",DI terrain 2024,"-99","2","-99",intact,"0","0",1014.65647471000,Buffer de 500m autour d'un chantier historique,Surveillance,63.99388183180,"2",Fort enjeu de conservation à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
10419.88333000000,398.70918067500,1.04198833300,"874",DI terrain 2024,"-99","2","-99",intact,"4","3",2895.24080108000,Buffer de 500m autour d'un chantier historique,Surveillance,90.57516610070,"2",Fort enjeu de conservation à l'échelle du massif,85.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
3750.20975326000,239.73368317800,0.37502097533,"875",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"1","1",502.52694784600,Buffer de 500m autour d'un chantier historique,Restauration peu envahi,69.03346945570,"2",Fort enjeu de conservation à l'échelle du massif,77.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
3830.52663549000,243.96139452600,0.38305266355,"876",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"1","3",300.33370971700,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,46.40949784380,"1",Enjeu de conservation intermédiaire à l'échelle du massif,74.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
10246.75440780000,400.63925198000,1.02467544078,"877",DI terrain 2024,"-99","1","-99",peu envahi (1),"1","3",199.60398548800,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,65.78366220470,"2",Fort enjeu de conservation à l'échelle du massif,83.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
9909.08999166000,392.22440514400,0.99090899917,"878",DI terrain 2024,"-99","1","-99",intact,"0","0",635.64237881400,Buffer de 200m autour d'un chantier historique,Surveillance,58.97029702070,"1",Enjeu de conservation intermédiaire à l'échelle du massif,85.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
9752.55811032000,461.15855370900,0.97525581103,"879",DI terrain 2024,"-99","1","-99",intact,"0","0",154.37381687800,Pas de chantiers connus dans les 5 dernières années,Surveillance,42.69793747620,"0",Faible enjeu de conservation à l'échelle du massif,76.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
8678.20817077000,499.89879934200,0.86782081708,"880",DI terrain 2024,"-99","1","-99",intact,"1","1",76.95904496460,Pas de chantiers connus dans les 5 dernières années,Surveillance,58.04917280380,"2",Fort enjeu de conservation à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
40000.00000000000,800.00000000000,4.00000000000,"881",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",4797.81054688000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,26.36889114620,"0",Faible enjeu de conservation à l'échelle du massif,49.00000000000,Faibles Priorités - Score inférieur à 50
18606.36828970000,545.37355566900,1.86063682897,"882",DI terrain 2024,"-99","1","-99",peu envahi (1),"1","1",890.51464970200,Chantiers dans les 5 dernières années,Restauration peu envahi,41.63589368770,"1",Enjeu de conservation intermédiaire à l'échelle du massif,80.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
39573.31408980000,785.06880162400,3.95733140898,"883",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",7479.34375000000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,67.73561348580,"2",Fort enjeu de conservation à l'échelle du massif,57.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
40000.00000000000,800.00000000000,4.00000000000,"884",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",7967.71435547000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,28.24893508670,"0",Faible enjeu de conservation à l'échelle du massif,46.00000000000,Faibles Priorités - Score inférieur à 50
9749.28374352000,394.43813425700,0.97492837435,"885",DI terrain 2024,"-99","6","-99",très envahi (6),"1","3",447.56255727900,Buffer de 200m autour d'un chantier historique,Restauration très envahi,4.14665723581,"0",Faible enjeu de conservation à l'échelle du massif,67.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
3984.93399478000,249.60544574900,0.39849339948,"886",DI terrain Piton de Caille 2021,"1","-99","-99",peu envahi (2),"2","3",237.24254647300,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,8.20666655788,"0",Faible enjeu de conservation à l'échelle du massif,61.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
10048.41172500000,397.97453197000,1.00484117250,"887",DI terrain 2024,"-99","1","-99",peu envahi (1),"3","3",35.74755970310,Chantiers dans les 5 dernières années,Restauration peu envahi,48.34906183880,"2",Fort enjeu de conservation à l'échelle du massif,79.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
9909.95503694000,396.49040591100,0.99099550369,"888",DI terrain 2024,"-99","2","-99",intact,"0","0",561.37413337700,Buffer de 500m autour d'un chantier historique,Surveillance,68.22178840150,"2",Fort enjeu de conservation à l'échelle du massif,87.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
5618.86879683000,332.07993691500,0.56188687968,"889",DI terrain 2024,"-99","1","-99",intact,"0","0",178.35974617600,Chantiers dans les 5 dernières années,Surveillance,10.63636392970,"0",Faible enjeu de conservation à l'échelle du massif,73.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
